583    111    481    4:2:2:1:    4:4:    4:4:    C[6]-4:O[6]-2:O-2:H-1:    C[6]-4:C-4:    C[6,6]-4:C[6]-4:    C[6](C[6]CHH)(O[6]C)(OC)(H)    O(C[6]CHO)(CH3)    O[6](C[6,6]CCH)(C[6]CHO)    112.0933    0.468    5    110.8349    2.3971    28    110.5469    449.0000    449    109.9639    2.3880    855
583    111    481    4:2:2:1:    4:4:    4:4:    C[6]-4:O[6]-2:O-2:H-1:    C[6]-4:C-4:    C[6,6]-4:C[6]-4:    C[6](C[6]CHN)(O[6]C)(OC)(H)    O(C[6]CHO)(CH3)    O[6](C[6,6]CCH)(C[6]CHO)    109.9561    2.471    5    110.8349    2.3971    28    110.5469    449.0000    449    109.9639    2.3880    855
583    111    481    4:2:2:1:    4:4:    4:4:    C[6]-4:O[6]-2:O-2:H-1:    C[6]-4:C-4:    C[6,6]-4:C[6]-4:    C[6](C[6]CHO)(O[6]C)(OC)(H)    O(C[6]CHO)(CH3)    O[6](C[6,6]CCH)(C[6]CHO)    110.6383    2.755    15    110.8349    2.3971    28    110.5469    449.0000    449    109.9639    2.3880    855
583    111    481    4:2:2:1:    4:4:    4:4:    C[6]-4:O[6]-2:O-2:H-1:    C[6]-4:C-4:    C[6]-4:C[6]-4:    C[6](C[6]CHO)(O[6]C)(OC)(H)    O(C[6]CHO)(CCHH)    O[6](C[6]CHH)(C[6]CHO)    110.6705    3.239    4    109.9807    2.4490    137    110.5469    449.0000    449    109.9639    2.3880    855
583    111    481    4:2:2:1:    4:4:    4:4:    C[6]-4:O[6]-2:O-2:H-1:    C[6]-4:C-4:    C[6]-4:C[6]-4:    C[6](C[6]CHO)(O[6]C)(OC)(H)    O(C[6]CHO)(CC3)    O[6](C[6]CCH)(C[6]CHO)    107.6044    2.690    5    109.9807    2.4490    137    110.5469    449.0000    449    109.9639    2.3880    855
583    111    481    4:2:2:1:    4:4:    4:4:    C[6]-4:O[6]-2:O-2:H-1:    C[6]-4:C-4:    C[6]-4:C[6]-4:    C[6](C[6]CHO)(O[6]C)(OC)(H)    O(C[6]CHO)(CH3)    O[6](C[6]CHH)(C[6]CHO)    109.7110    3.146    5    109.9807    2.4490    137    110.5469    449.0000    449    109.9639    2.3880    855
583    111    481    4:2:2:1:    4:4:    4:4:    C[6]-4:O[6]-2:O-2:H-1:    C[6]-4:C-4:    C[6]-4:C[6]-4:    C[6](C[6]CHH)(O[6]C)(OC)(H)    O(C[6]CHO)(CCCH)    O[6](C[6]CCH)(C[6]CHO)    111.3753    3.006    6    109.9807    2.4490    137    110.5469    449.0000    449    109.9639    2.3880    855
583    111    481    4:2:2:1:    4:4:    4:4:    C[6]-4:O[6]-2:O-2:H-1:    C[6]-4:C-4:    C[6]-4:C[6]-4:    C[6](C[6]CHO)(O[6]C)(OC)(H)    O(C[6]CHO)(CCCH)    O[6](C[6]CCH)(C[6]CHO)    107.9569    0.831    9    109.9807    2.4490    137    110.5469    449.0000    449    109.9639    2.3880    855
583    111    481    4:2:2:1:    4:4:    4:4:    C[6]-4:O[6]-2:O-2:H-1:    C[6]-4:C-4:    C[6]-4:C[6]-4:    C[6](C[6]CHH)(O[6]C)(OC)(H)    O(C[6]CHO)(CH3)    O[6](C[6]CCH)(C[6]CHO)    110.8310    1.519    13    109.9807    2.4490    137    110.5469    449.0000    449    109.9639    2.3880    855
583    111    481    4:2:2:1:    4:4:    4:4:    C[6]-4:O[6]-2:O-2:H-1:    C[6]-4:C-4:    C[6]-4:C[6]-4:    C[6](C[6]CHN)(O[6]C)(OC)(H)    O(C[6]CHO)(CH3)    O[6](C[6]CCH)(C[6]CHO)    109.4934    2.079    13    109.9807    2.4490    137    110.5469    449.0000    449    109.9639    2.3880    855
