29    699    3:3:3:    3:1:1:    C[6]-3:C[6]-3:C-3:    C[6]-3:H-1:O-1:    C[6](C[6]CO)2(CHO)    C(C[6]CC)(H)(O)    1.4441    0.017    16    1.4652    0.0182    520    1.4974    0.0302    2841
29    699    3:3:3:    3:1:1:    C[6]-3:C[6]-3:C-3:    C[6]-3:H-1:O-1:    C[6](C[6]CC)(C[6]CH)(CHO)    C(C[6]CC)(H)(O)    1.4777    0.006    26    1.4652    0.0182    520    1.4974    0.0302    2841
29    699    3:3:3:    3:1:1:    C[6]-3:C[6]-3:C-3:    C[6]-3:H-1:O-1:    C[6](C[6]CH)(C[6]CO)(CHO)    C(C[6]CC)(H)(O)    1.4595    0.018    135    1.4652    0.0182    520    1.4974    0.0302    2841
29    699    3:3:3:    3:1:1:    C[6]-3:C[6]-3:C-3:    C[6]-3:H-1:O-1:    C[6](C[6]CH)2(CHO)    C(C[6]CC)(H)(O)    1.4677    0.013    232    1.4652    0.0182    520    1.4974    0.0302    2841
29    699    3:3:3:    3:1:1:    C[6]-3:C[6]-3:C-3:    C[6]-3:O-1:O-1:    C[6](C[6]ClC)(C[6]CC)(COO)    C(C[6]CC)(O)2    1.5164    0.029    11    1.5085    0.0156    2036    1.4974    0.0302    2841
29    699    3:3:3:    3:1:1:    C[6]-3:C[6]-3:C-3:    C[6]-3:O-1:O-1:    C[6](C[6]ClC)(C[6]CH)(COO)    C(C[6]CC)(O)2    1.5159    0.009    13    1.5085    0.0156    2036    1.4974    0.0302    2841
29    699    3:3:3:    3:1:1:    C[6]-3:C[6]-3:C-3:    C[6]-3:O-1:O-1:    C[6](C[6]CC)(C[6]CN)(COO)    C(C[6]CC)(O)2    1.5217    0.008    14    1.5085    0.0156    2036    1.4974    0.0302    2841
29    699    3:3:3:    3:1:1:    C[6]-3:C[6]-3:C-3:    C[6]-3:O-1:O-1:    C[6](C[6]CO)2(COO)    C(C[6]CC)(O)2    1.4830    0.014    14    1.5085    0.0156    2036    1.4974    0.0302    2841
29    699    3:3:3:    3:1:1:    C[6]-3:C[6]-3:C-3:    C[6]-3:O-1:O-1:    C[6](C[6]CF)2(COO)    C(C[6]CC)(O)2    1.5208    0.013    17    1.5085    0.0156    2036    1.4974    0.0302    2841
29    699    3:3:3:    3:1:1:    C[6]-3:C[6]-3:C-3:    C[6]-3:O-1:O-1:    C[6](C[6]CO)(C[6]HN)(COO)    C(C[6]CC)(O)2    1.5052    0.008    22    1.5085    0.0156    2036    1.4974    0.0302    2841
29    699    3:3:3:    3:1:1:    C[6]-3:C[6]-3:C-3:    C[6]-3:O-1:O-1:    C[6](C[6]CH)(C[6]CS)(COO)    C(C[6]CC)(O)2    1.5079    0.021    42    1.5085    0.0156    2036    1.4974    0.0302    2841
29    699    3:3:3:    3:1:1:    C[6]-3:C[6]-3:C-3:    C[6]-3:O-1:O-1:    C[6](C[6]CH)(C[6]CN)(COO)    C(C[6]CC)(O)2    1.5112    0.014    72    1.5085    0.0156    2036    1.4974    0.0302    2841
29    699    3:3:3:    3:1:1:    C[6]-3:C[6]-3:C-3:    C[6]-3:O-1:O-1:    C[6](C[6]CH)(C[6]HN)(COO)    C(C[6]CC)(O)2    1.5112    0.016    94    1.5085    0.0156    2036    1.4974    0.0302    2841
29    699    3:3:3:    3:1:1:    C[6]-3:C[6]-3:C-3:    C[6]-3:O-1:O-1:    C[6](C[6]CH)(C[6]CO)(COO)    C(C[6]CC)(O)2    1.4953    0.012    160    1.5085    0.0156    2036    1.4974    0.0302    2841
29    699    3:3:3:    3:1:1:    C[6]-3:C[6]-3:C-3:    C[6]-3:O-1:O-1:    C[6](C[6]CC)(C[6]CH)(COO)    C(C[6]CC)(O)2    1.5120    0.012    402    1.5085    0.0156    2036    1.4974    0.0302    2841
29    699    3:3:3:    3:1:1:    C[6]-3:C[6]-3:C-3:    C[6]-3:O-1:O-1:    C[6](C[6]CH)2(COO)    C(C[6]CC)(O)2    1.5084    0.016    1102    1.5085    0.0156    2036    1.4974    0.0302    2841
29    699    3:3:3:    3:1:1:    C[6]-3:C[6]-3:C-3:    C[6]-3:S-1:S-1:    C[6](C[6]CH)2(CSS)    C(C[6]CC)(S)2    1.4928    0.009    6    1.4905    0.0094    9    1.4974    0.0302    2841
29    699    3:3:3:    3:1:1:    C[6]-3:N[6]-3:C-3:    C[6]-3:O-1:O-1:    C[6](C[6]CH)(N[6]CH)(COO)    C(C[6]CN)(O)2    1.5267    0.015    29    1.5257    0.0160    35    1.4974    0.0302    2841
