930	490	490	0:SP2_SP3_SP3	C	C	C	3:4:4:	3:1:1:1:	3:1:1:1:	C[5,5]-3:C-4:C-4:	C-3:H-1:H-1:H-1:	C-3:H-1:H-1:H-1:	C(C[5,5]C[5,5,6]2)(CH3)2	C(CC[5,5]C)(H)3	C(CC[5,5]C)(H)3	C(C[5,5]C[5,5,6]2)(CH3)2	C(CC[5,5]C)(H)3	C(CC[5,5]C)(H)3	114.8161	0.646	9	114.8161	0.646	9	114.8192	0.552	12	114.4888	2.425	172	116.7117	2.571	2420	116.7117	2.571	2420
930	490	490	0:SP2_SP3_SP3	C	C	C	3:4:4:	3:1:1:1:	3:1:1:1:	C[5,6]-3:C-4:C-4:	C-3:H-1:H-1:H-1:	C-3:H-1:H-1:H-1:	C(C[5,6]C[5,5,6]2)(CH3)2	C(CC[5,6]C)(H)3	C(CC[5,6]C)(H)3	C(C[5,6]C[5,5,6]2)(CH3)2	C(CC[5,6]C)(H)3	C(CC[5,6]C)(H)3	114.4420	0.000	1	114.4420	0.000	1	114.0120	0.608	2	114.4888	2.425	172	116.7117	2.571	2420	116.7117	2.571	2420
930	490	490	0:SP2_SP3_SP3	C	C	C	3:4:4:	3:1:1:1:	3:1:1:1:	C[5,6]-3:C-4:C-4:	C-3:H-1:H-1:H-1:	C-3:H-1:H-1:H-1:	C(C[5,6]C[5,6]2)(CH3)2	C(CC[5,6]C)(H)3	C(CC[5,6]C)(H)3	C(C[5,6]C[5,6]2)(CH3)2	C(CC[5,6]C)(H)3	C(CC[5,6]C)(H)3	113.5820	0.000	1	113.5820	0.000	1	114.0120	0.608	2	114.4888	2.425	172	116.7117	2.571	2420	116.7117	2.571	2420
930	490	490	0:SP2_SP3_SP3	C	C	C	3:4:4:	3:1:1:1:	3:1:1:1:	C[5]-3:C-4:C-4:	C-3:H-1:H-1:H-1:	C-3:H-1:H-1:H-1:	C(C[5]C[5,5]C[5])(CH3)2	C(CC[5]C)(H)3	C(CC[5]C)(H)3	C(C[5]C[5,5]C[5])(CH3)2	C(CC[5]C)(H)3	C(CC[5]C)(H)3	112.2097	1.726	4	112.2097	1.726	4	114.1284	1.436	61	114.4888	2.425	172	116.7117	2.571	2420	116.7117	2.571	2420
930	490	490	0:SP2_SP3_SP3	C	C	C	3:4:4:	3:1:1:1:	3:1:1:1:	C[5]-3:C-4:C-4:	C-3:H-1:H-1:H-1:	C-3:H-1:H-1:H-1:	C(C[5]C[5,5]P[5])(CH3)2	C(CC[5]C)(H)3	C(CC[5]C)(H)3	C(C[5]C[5,5]P[5])(CH3)2	C(CC[5]C)(H)3	C(CC[5]C)(H)3	113.9241	0.438	7	113.9241	0.438	7	114.1284	1.436	61	114.4888	2.425	172	116.7117	2.571	2420	116.7117	2.571	2420
930	490	490	0:SP2_SP3_SP3	C	C	C	3:4:4:	3:1:1:1:	3:1:1:1:	C[5]-3:C-4:C-4:	C-3:H-1:H-1:H-1:	C-3:H-1:H-1:H-1:	C(C[5]C[5,6]C[5])(CH3)2	C(CC[5]C)(H)3	C(CC[5]C)(H)3	C(C[5]C[5,6]C[5])(CH3)2	C(CC[5]C)(H)3	C(CC[5]C)(H)3	114.4068	0.302	4	114.4068	0.302	4	114.1284	1.436	61	114.4888	2.425	172	116.7117	2.571	2420	116.7117	2.571	2420
930	490	490	0:SP2_SP3_SP3	C	C	C	3:4:4:	3:1:1:1:	3:1:1:1:	C[5]-3:C-4:C-4:	C-3:H-1:H-1:H-1:	C-3:H-1:H-1:H-1:	C(C[5]C[5,6a]C[5])(CH3)2	C(CC[5]C)(H)3	C(CC[5]C)(H)3	C(C[5]C[5,6a]C[5])(CH3)2	C(CC[5]C)(H)3	C(CC[5]C)(H)3	114.5006	0.475	9	114.5006	0.475	9	114.1284	1.436	61	114.4888	2.425	172	116.7117	2.571	2420	116.7117	2.571	2420
930	490	490	0:SP2_SP3_SP3	C	C	C	3:4:4:	3:1:1:1:	3:1:1:1:	C[5]-3:C-4:C-4:	C-3:H-1:H-1:H-1:	C-3:H-1:H-1:H-1:	C(C[5]C[5,6a]N[5])(CH3)2	C(CC[5]C)(H)3	C(CC[5]C)(H)3	C(C[5]C[5,6a]N[5])(CH3)2	C(CC[5]C)(H)3	C(CC[5]C)(H)3	115.6750	0.000	1	115.6750	0.000	1	114.1284	1.436	61	114.4888	2.425	172	116.7117	2.571	2420	116.7117	2.571	2420
930	490	490	0:SP2_SP3_SP3	C	C	C	3:4:4:	3:1:1:1:	3:1:1:1:	C[5]-3:C-4:C-4:	C-3:H-1:H-1:H-1:	C-3:H-1:H-1:H-1:	C(C[5]C[5]2)(CH3)2	C(CC[5]C)(H)3	C(CC[5]C)(H)3	C(C[5]C[5]2)(CH3)2	C(CC[5]C)(H)3	C(CC[5]C)(H)3	114.4958	0.958	30	114.4958	0.958	30	114.1284	1.436	61	114.4888	2.425	172	116.7117	2.571	2420	116.7117	2.571	2420
930	490	490	0:SP2_SP3_SP3	C	C	C	3:4:4:	3:1:1:1:	3:1:1:1:	C[5]-3:C-4:C-4:	C-3:H-1:H-1:H-1:	C-3:H-1:H-1:H-1:	C(C[5]C[5]N[5])(CH3)2	C(CC[5]C)(H)3	C(CC[5]C)(H)3	C(C[5]C[5]N[5])(CH3)2	C(CC[5]C)(H)3	C(CC[5]C)(H)3	110.1973	0.672	3	110.1973	0.672	3	114.1284	1.436	61	114.4888	2.425	172	116.7117	2.571	2420	116.7117	2.571	2420
