930	954	954	0:SP2_SP2_SP2	C	O	O	3:1:1:	3:	3:	C[5]-3:O-1:O-1:	C-3:	C-3:	C(C[5]C[5,6a]C[5])(O)2	O(CC[5]O)	O(CC[5]O)	C(C[5]C[5,6a]C[5])(O)2	O(CC[5]O)	O(CC[5]O)	122.6790	0.000	1	122.6790	0.000	1	126.6898	2.691	62	124.8334	1.578	2593	125.0700	1.813	4658	125.0700	1.813	4658
930	954	954	0:SP2_SP2_SP2	C	O	O	3:1:1:	3:	3:	C[5]-3:O-1:O-1:	C-3:	C-3:	C(C[5]C[5]2)(O)2	O(CC[5]O)	O(CC[5]O)	C(C[5]C[5]2)(O)2	O(CC[5]O)	O(CC[5]O)	124.1486	1.107	5	124.1486	1.107	5	126.6898	2.691	62	124.8334	1.578	2593	125.0700	1.813	4658	125.0700	1.813	4658
930	954	954	0:SP2_SP2_SP2	C	O	O	3:1:1:	3:	3:	C[5]-3:O-1:O-1:	C-3:	C-3:	C(C[5]C[5]N[5])(O)2	O(CC[5]O)	O(CC[5]O)	C(C[5]C[5]N[5])(O)2	O(CC[5]O)	O(CC[5]O)	126.3393	1.742	20	126.3393	1.742	20	126.6898	2.691	62	124.8334	1.578	2593	125.0700	1.813	4658	125.0700	1.813	4658
930	954	954	0:SP2_SP2_SP2	C	O	O	3:1:1:	3:	3:	C[5]-3:O-1:O-1:	C-3:	C-3:	C(C[5]C[5]S[5])(O)2	O(CC[5]O)	O(CC[5]O)	C(C[5]C[5]S[5])(O)2	O(CC[5]O)	O(CC[5]O)	124.8406	1.927	18	124.8406	1.927	18	126.6898	2.691	62	124.8334	1.578	2593	125.0700	1.813	4658	125.0700	1.813	4658
930	954	954	0:SP2_SP2_SP2	C	O	O	3:1:1:	3:	3:	C[5]-3:O-1:O-1:	C-3:	C-3:	C(C[5]N[5]2)(O)2	O(CC[5]O)	O(CC[5]O)	C(C[5]N[5]2)(O)2	O(CC[5]O)	O(CC[5]O)	129.8570	1.164	18	129.8570	1.164	18	126.6898	2.691	62	124.8334	1.578	2593	125.0700	1.813	4658	125.0700	1.813	4658
930	954	954	0:SP2_SP2_SP2	C	O	O	3:1:1:	3:	3:	C[5a]-3:O-1:O-1:	C-3:	C-3:	C(C[5a]C[5a,6a]C[5a])(O)2	O(CC[5a]O)	O(CC[5a]O)	C(C[5a]C[5a,6a]C[5a])(O)2	O(CC[5a]O)	O(CC[5a]O)	123.5400	0.000	1	123.5400	0.000	1	125.0216	0.945	41	124.8334	1.578	2593	125.0700	1.813	4658	125.0700	1.813	4658
930	954	954	0:SP2_SP2_SP2	C	O	O	3:1:1:	3:	3:	C[5a]-3:O-1:O-1:	C-3:	C-3:	C(C[5a]C[5a]2)(O)2	O(CC[5a]O)	O(CC[5a]O)	C(C[5a]C[5a]2)(O)2	O(CC[5a]O)	O(CC[5a]O)	124.7460	0.000	1	124.7460	0.000	1	125.0216	0.945	41	124.8334	1.578	2593	125.0700	1.813	4658	125.0700	1.813	4658
930	954	954	0:SP2_SP2_SP2	C	O	O	3:1:1:	3:	3:	C[5a]-3:O-1:O-1:	C-3:	C-3:	C(C[5a]C[5a]N[5a])(O)2	O(CC[5a]O)	O(CC[5a]O)	C(C[5a]C[5a]N[5a])(O)2	O(CC[5a]O)	O(CC[5a]O)	125.1724	0.865	29	125.1724	0.865	29	125.0216	0.945	41	124.8334	1.578	2593	125.0700	1.813	4658	125.0700	1.813	4658
930	954	954	0:SP2_SP2_SP2	C	O	O	3:1:1:	3:	3:	C[5a]-3:O-1:O-1:	C-3:	C-3:	C(C[5a]C[5a]O[5a])(O)2	O(CC[5a]O)	O(CC[5a]O)	C(C[5a]C[5a]O[5a])(O)2	O(CC[5a]O)	O(CC[5a]O)	124.7600	1.113	10	124.7600	1.113	10	125.0216	0.945	41	124.8334	1.578	2593	125.0700	1.813	4658	125.0700	1.813	4658
930	954	954	0:SP2_SP2_SP2	C	O	O	3:1:1:	3:	3:	C[6,6]-3:O-1:O-1:	C-3:	C-3:	C(C[6,6]C[3x6]C[6,6])(O)2	O(CC[6,6]O)	O(CC[6,6]O)	C(C[6,6]C[3x6]C[6,6])(O)2	O(CC[6,6]O)	O(CC[6,6]O)	127.8940	0.000	1	127.8940	0.000	1	127.8940	0.000	1	124.8334	1.578	2593	125.0700	1.813	4658	125.0700	1.813	4658
