973	988	988	4:4:	2:2:2:2:	2:2:2:2:	P-4:P-4:	O-2:O-2:O-2:O-2:	O-2:O-2:O-2:O-2:	O(PO3)2	P(OCr)2(OP)2	P(OCr)2(OP)2	O(PO3)2	P(OCr)2(OP)2	P(OCr)2(OP)2	123.4210	0.000	1	123.4210	0.000	1     137.6459       14.775      12      137.6459     14.775     12
973	988	988	4:4:	2:2:2:2:	2:2:2:2:	P-4:P-4:	O-2:O-2:O-2:O-2:	O-2:O-2:O-2:O-2:	O(PO3)2	P(OCr)2(OP)2	P(OCr)3(OP)	O(PO3)2	P(OCr)2(OP)2	P(OCr)3(OP)	135.2780	0.000	1	135.2780	0.000	1     137.6459       14.775      12      137.6459     14.775     12
973	988	988	4:4:	2:2:2:2:	2:2:2:2:	P-4:P-4:	O-2:O-2:O-2:O-2:	O-2:O-2:O-2:O-2:	O(PO3)2	P(OFe)2(OB)(OP)	P(OFe)2(OB)(OP)	O(PO3)2	P(OFe)2(OB)(OP)	P(OFe)2(OB)(OP)	179.9990	0.000	1	179.9990	0.000	1     137.6459       14.775      12      137.6459     14.775     12
973	988	988	4:4:	2:2:2:2:	2:2:2:2:	P-4:P-4:	O-2:O-2:O-2:O-2:	O-2:O-2:O-2:O-2:	O(PO3)2	P(OLi)(OMn)(OP)2	P(OLi)(OMn)(OP)2	O(PO3)2	P(OLi)(OMn)(OP)2	P(OLi)(OMn)(OP)2	132.8550	0.000	1	132.8550	0.000	1     137.6459       14.775      12      137.6459     14.775     12
973	988	988	4:4:	2:2:2:2:	2:2:2:2:	P-4:P-4:	O-2:O-2:O-2:O-2:	O-2:O-2:O-2:O-2:	O(PO3)2	P(ONi)(OH)(OP)2	P(ONi)(OP)3	O(PO3)2	P(ONi)(OH)(OP)2	P(ONi)(OP)3	137.3762	5.696	4	137.3762	5.696	4     137.6459       14.775      12      137.6459     14.775     12
973	988	988	4:4:	2:2:2:2:	2:2:2:2:	P-4:P-4:	O-2:O-2:O-2:O-2:	O-2:O-2:O-2:O-2:	O(PO3)2	P(ONi)(OH)2(OP)	P(ONi)(OH)2(OP)	O(PO3)2	P(ONi)(OH)2(OP)	P(ONi)(OH)2(OP)	130.4100	0.000	1	130.4100	0.000	1     137.6459       14.775      12      137.6459     14.775     12
973	988	988	4:4:	2:2:2:2:	2:2:2:2:	P-4:P-4:	O-2:O-2:O-2:O-2:	O-2:O-2:O-2:O-2:	O(PO3)2	P(ONi)2(OP)2	P(ONi)(OP)3	O(PO3)2	P(ONi)2(OP)2	P(ONi)(OP)3	137.6240	8.217	2	137.6240	8.217	2     137.6459       14.775      12      137.6459     14.775     12
973	988	988	4:4:	2:3:2:1:	2:3:2:1:	P-4:P-4:	O-2:N-3:O-2:O-1:	O-2:N-3:O-2:O-1:	O(PNOO)2	P(OC[6a])(NCC)(OP)(O)	P(OC[6a])(NCC)(OP)(O)	O(PNOO)2	P(OC[6a])(NCC)(OP)(O)	P(OC[6a])(NCC)(OP)(O)	130.0060	0.000	1	130.0060	0.000	1     130.0060       0.000      1      130.0060     0.000     1
973	988	988	4:4:	3:2:2:1:	3:2:2:1:	P-4:P-4:	C[6a]-3:O-2:O-2:O-1:	C[6a]-3:O-2:O-2:O-1:	O(PC[6a]OO)2	P(C[6a]C[6a]2)(OH)(OP)(O)	P(C[6a]C[6a]2)(OH)(OP)(O)	O(PC[6a]OO)2	P(C[6a]C[6a]2)(OH)(OP)(O)	P(C[6a]C[6a]2)(OH)(OP)(O)	127.9505	4.222	2	127.9505	4.222	2     127.9505       4.222      2      127.9505     4.222     2
973	988	988	4:4:	3:2:2:1:	3:3:2:2:	P-4:P-4:	O-3:F-2:O-2:F-1:	O-3:O-3:O-2:O-2:	O(PFFO)(PO3)	P(OCo2)(FCo)(OP)(F)	P(OCo2)2(OCo)(OP)	O(PFFO)(PO3)	P(OCo2)(FCo)(OP)(F)	P(OCo2)2(OCo)(OP)	127.4520	0.000	1	127.4520	0.000	1     127.4520       0.000      1      127.4520     0.000     1
