210	210	818	3:2:	3:2:	3:2:2:	C[5]-3:N-2:	C[5]-3:N-2:	N[5]-3:N[5]-2:N-2:	N(C[5]N[5]2)(NC[5])	N(C[5]N[5]2)(NC[5])	C[5](N[5]C[5]Cd)(N[5]N[5])(NN)	N(C[5]N[5]2)(NC[5])	N(C[5]N[5]2)(NC[5])	C[5](N[5]C[5]Cd)(N[5]N[5])(NN){1|Cd<6>,1|H<1>}	112.5030	0.000	1	112.9410	0.619	2     113.4340       0.960      3      111.7639     2.345     48
210	210	818	3:2:	3:2:	3:2:2:	C[5]-3:N-2:	C[5]-3:N-2:	N[5]-3:N[5]-2:N-2:	N(C[5]N[5]2)(NC[5])	N(C[5]N[5]2)(NC[5])	C[5](N[5]N[5]Ag)(N[5]N[5])(NN)	N(C[5]N[5]2)(NC[5])	N(C[5]N[5]2)(NC[5])	C[5](N[5]N[5]Ag)(N[5]N[5])(NN){1|Ag<3>}	114.4200	0.000	1	114.4200	0.000	1     113.4340       0.960      3      111.7639     2.345     48
210	210	818	3:2:	3:2:	3:2:2:	C[5]-3:N-2:	C[5]-3:N-2:	N[5]-3:S[5]-2:N-2:	N(C[5]N[5]S[5])(NC[5])	N(C[5]N[5]S[5])(NC[5])	C[5](N[5]C[5,6a]C)(S[5]C[5,6a])(NN)	N(C[5]N[5]S[5])(NC[5])	N(C[5]N[5]S[5])(NC[5])	C[5](N[5]C[5,6a]C)(S[5]C[5,6a])(NN){2|C<3>}	110.6075	0.633	2	110.6075	0.633	2     110.6075       0.633      2      111.7639     2.345     48
210	210	818	3:2:	3:2:	3:2:2:	C[5]-3:N-2:	C[6,6]-3:N-2:	N[5]-3:S[5]-2:N-2:	N(C[5]N[5]S[5])(NC[6,6])	N(C[6,6]C[6,6]2)(NC[5])	C[5](N[5]C[5]H)(S[5]C[5])(NN)	N(C[5]N[5]S[5])(NC[6,6])	N(C[6,6]C[6,6]2)(NC[5])	C[5](N[5]C[5]H)(S[5]C[5])(NN){1|O<1>,2|H<1>}	108.8300	0.000	1	108.8300	0.000	1     108.8300       0.000      1      111.7639     2.345     48
210	210	818	3:2:	3:2:	3:2:2:	C[5a]-3:N-2:	C[5a]-3:N-2:	C[5,5a]-3:N[5a]-2:N-2:	N(C[5a]C[5,5a]N[5a])(NC[5a])	N(C[5a]C[5,5a]N[5a])(NC[5a])	C[5a](C[5,5a]C[5,5a]C[5])(N[5a]N[5a])(NN)	N(C[5a]C[5,5a]N[5a])(NC[5a])	N(C[5a]C[5,5a]N[5a])(NC[5a])	C[5a](C[5,5a]C[5,5a]C[5])(N[5a]N[5a])(NN){1|N<4>,2|C<4>,2|H<1>}	112.5160	0.000	1	112.5160	0.000	1     112.5160       0.000      1      111.7639     2.345     48
210	210	818	3:2:	3:2:	3:2:2:	C[5a]-3:N-2:	C[5a]-3:N-2:	C[5a]-3:N[5a]-2:N-2:	N(C[5a]C[5a]N[5a])(NC[5a])	N(C[5a]C[5a]N[5a])(NC[5a])	C[5a](C[5a]N[5a]N)(N[5a]O[5a])(NN)	N(C[5a]C[5a]N[5a])(NC[5a])	N(C[5a]C[5a]N[5a])(NC[5a])	C[5a](C[5a]N[5a]N)(N[5a]O[5a])(NN){}	111.5475	0.588	15	111.5475	0.588	15     111.5475       0.588      15      111.7639     2.345     48
210	210	818	3:2:	3:2:	3:2:2:	C[5a]-3:N-2:	C[5a]-3:N-2:	N[5a]-3:N[5a]-2:N-2:	N(C[5a]N[5a]2)(NC[5a])	N(C[5a]N[5a]2)(NC[5a])	C[5a](N[5a]C[5a]Cd)(N[5a]N[5a])(NN)	N(C[5a]N[5a]2)(NC[5a])	N(C[5a]N[5a]2)(NC[5a])	C[5a](N[5a]C[5a]Cd)(N[5a]N[5a])(NN){1|H<1>}	113.4400	0.000	1	113.4400	0.000	1     113.0149       0.893      8      111.7639     2.345     48
210	210	818	3:2:	3:2:	3:2:2:	C[5a]-3:N-2:	C[5a]-3:N-2:	N[5a]-3:N[5a]-2:N-2:	N(C[5a]N[5a]2)(NC[5a])	N(C[5a]N[5a]2)(NC[5a])	C[5a](N[5a]C[5a]H)(N[5a]N[5a])(NN)	N(C[5a]N[5a]2)(NC[5a])	N(C[5a]N[5a]2)(NC[5a])	C[5a](N[5a]C[5a]H)(N[5a]N[5a])(NN){1|H<1>}	113.9200	0.000	1	113.9200	0.000	1     113.0149       0.893      8      111.7639     2.345     48
210	210	818	3:2:	3:2:	3:2:2:	C[5a]-3:N-2:	C[5a]-3:N-2:	N[5a]-3:N[5a]-2:N-2:	N(C[5a]N[5a]2)(NC[5a])	N(C[5a]N[5a]2)(NC[5a])	C[5a](N[5a]C[5a]Mn)(N[5a]N[5a])(NN)	N(C[5a]N[5a]2)(NC[5a])	N(C[5a]N[5a]2)(NC[5a])	C[5a](N[5a]C[5a]Mn)(N[5a]N[5a])(NN){1|H<1>}	113.6240	0.000	1	113.6240	0.000	1     113.0149       0.893      8      111.7639     2.345     48
210	210	818	3:2:	3:2:	3:2:2:	C[5a]-3:N-2:	C[5a]-3:N-2:	N[5a]-3:N[5a]-2:N-2:	N(C[5a]N[5a]2)(NC[5a])	N(C[5a]N[5a]2)(NC[5a])	C[5a](N[5a]N[5a]C)(N[5a]N[5a])(NN)	N(C[5a]N[5a]2)(NC[5a])	N(C[5a]N[5a]2)(NC[5a])	C[5a](N[5a]N[5a]C)(N[5a]N[5a])(NN){}	112.3670	0.154	2	112.3670	0.154	2     113.0149       0.893      8      111.7639     2.345     48
210	210	818	3:2:	3:2:	3:2:2:	C[5a]-3:N-2:	C[5a]-3:N-2:	N[5a]-3:N[5a]-2:N-2:	N(C[5a]N[5a]2)(NC[5a])	N(C[5a]N[5a]2)(NC[5a])	C[5a](N[5a]N[5a]Fe)(N[5a]N[5a])(NN)	N(C[5a]N[5a]2)(NC[5a])	N(C[5a]N[5a]2)(NC[5a])	C[5a](N[5a]N[5a]Fe)(N[5a]N[5a])(NN){}	114.2620	0.000	1	114.2620	0.000	1     113.0149       0.893      8      111.7639     2.345     48
