727  941  SP2_SP2  N  2:2:2:  3:3:  N-2_2:N[5a]-2_2:S[5a]-2_2  C-2_2_2:C[5a]-2_2_2  425_8970_1  599_5474_0  1.3613  0.0011  2  1.3613  0.0011  2  
727  941  SP2_SP2  N  2:2:2:  3:3:  N-2_2:N[5a]-2_2:S[5a]-2_2  C-2_2_2:C[5a]-2_2_2  425_9415_2  599_5462_0  1.3680  0.0000  1  1.3680  0.0000  1  
727  941  SP2_SP2  N  2:2:2:  3:3:  N-2_2:N[5a]-2_2:S[5a]-2_2  C-2_2_2:C[5a]-2_2_2  425_9415_1  599_5474_0  1.3611  0.0057  3  1.3611  0.0057  3  
727  941  SP2_SP2  N  2:2:2:  3:3:  N-2_2:N[5a]-2_2:S[5a]-2_2  C-2_2_2:C[5a]-2_2_2  425_9415_1  599_5476_0  1.3750  0.0000  1  1.3750  0.0000  1  
727  941  SP2_SP2  N  2:2:2:  3:3:  N-2_2:N[5a]-2_2:S[5a]-2_2  C-2_2_2:C[5a]-2_2_2  425_9415_4  599_5482_0  1.3757  0.0000  1  1.3757  0.0000  1  
727  941  SP2_SP2  N  2:2:2:  3:3:  N-2_2:N[5a]-2_2:S[5a]-2_2  C-2_2_2:C[5a]-2_2_2  425_10593_5  599_5480_0  1.3536  0.0000  1  1.3536  0.0000  1  
727  941  SP2_SP2  N  2:2:2:  3:3:  N-2_2:N[5a]-2_2:S[5a]-2_2  C-3_2_2:C[5a]-2_2_2  425_8827_1  599_5443_0  1.3661  0.0000  1  1.3661  0.0000  1  
727  941  SP2_SP2  N  2:2:2:  3:3:  N-2_2:N[5a]-2_2:S[5a]-2_2  C-3_2_2:C[5a]-2_2_2  425_9415_1  599_5444_0  1.3788  0.0000  1  1.3788  0.0000  1  
727  941  SP2_SP2  N  2:2:2:  3:3:  N-2_2:N[5a]-2_2:S[5a]-2_2  C-3_2_2:C[5a]-2_2_2  425_10593_4  599_5444_0  1.3694  0.0000  1  1.3673  0.0029  2  
727  941  SP2_SP2  N  2:2:2:  3:3:  N-2_2:N[5a]-2_2:S[5a]-2_2  C-3_2_2:C[5a]-2_2_2  425_10593_5  599_5444_0  1.3652  0.0000  1  1.3673  0.0029  2  
727  941  SP2_SP2  N  2:2:2:  3:3:  N-2_2:N[5a]-2_2:S[5a]-2_2  C[5a]-2_2_2:C[5]-2_2_2  425_8973_1  599_5485_0  1.3573  0.0022  2  1.3573  0.0022  2  
727  941  SP2_SP2  N  2:2:2:  3:3:  N-2_2:N[5a]-2_2:S[5a]-2_2  C[5a]-2_2_2:C[5]-2_2_2  425_10596_1  599_5484_0  1.3585  0.0000  1  1.3585  0.0000  1  
