490    917     SP3_SP3    N    4:4:4:4:    3:3:4:4:    C-3_0_0_0:C-3_0_0_0:C-3_0_0_0:P[4]-3_3_2_2     B-3_0_0_0:C-3_3_3_3:C[4,6a]-3_2_2:C[4,6a]-3_2_2     C(P[4]C[4,6a]2B)(CH3)3    P[4](C[4,6a]C[4,6a,6a]C[6a])2(BH3)(CC3)     C(P[4]C[4,6a]2B)(CH3)3    P[4](C[4,6a]C[4,6a,6a]C[6a])2(BH3)(CC3){2|H<1>,3|C<3>}   1.8401    0.0000    2     1.8401     0.0000    2
490    917     SP3_SP3    N    4:4:4:4:    3:3:4:4:    C-3_0_0_0:C-3_0_0_0:C-3_0_0_0:P[4]-3_3_3_2     C-3_0_0_0:C-3_3_3_3:C[4]-3_3_2:P[4]-3_3_3     C(P[4]C[4]P[4]C)(CH3)3    P[4](C[4]P[4]N)(P[4]P[4]C)(CC3)(CH3)     C(P[4]C[4]P[4]C)(CH3)3    P[4](C[4]P[4]N)(P[4]P[4]C)(CC3)(CH3){1|C<4>}   1.8455    0.0000    1     1.8455     0.0000    1
490    917     SP3_SP3    N    4:4:4:4:    3:3:4:4:    C-3_0_0_0:C-3_0_0_0:C-3_0_0_0:P[4]-3_3_3_3     C-3_0_0_0:C-3_3_3_3:P[4]-3_3_3:P[4]-3_3_3     C(P[4]P[4]2C)(CH3)3    P[4](P[4]P[4]C)2(CC3)(CH3)     C(P[4]P[4]2C)(CH3)3    P[4](P[4]P[4]C)2(CC3)(CH3){1|C<4>}   1.8474    0.0000    1     1.8474     0.0000    1
490    917     SP3_SP3    N    4:4:4:4:    3:4:4:4:    C-3_0_0_0:C-3_0_0_0:C-3_0_0_0:P[4]-3_3_3_2     C-3_3_3_3:C-3_3_3_3:C[4]-3_3_0_0:N[4]-3_3_2     C(P[4]C[4]N[4]C)(CH3)3    P[4](N[4]C[6a]B[4])(C[4]B[4]HH)(CC3)2     C(P[4]C[4]N[4]C)(CH3)3    P[4](N[4]C[6a]B[4])(C[4]B[4]HH)(CC3)2{4|C<3>}   1.8742    0.0011    2     1.8742     0.0011    2
490    917     SP3_SP3    N    4:4:4:4:    4:3:4:4:    C-3_0_0_0:C-3_0_0_0:C-3_0_0_0:P[4]-3_3_3_2     C-3_3_3_3:C-3_3_3_3:C[4]-3_3_2_0:N[4]-3_3_3     C(P[4]C[4]N[4]C)(CH3)3    P[4](C[4]C[6a]B[4]H)(N[4]B[4]Si)(CC3)2     C(P[4]C[4]N[4]C)(CH3)3    P[4](C[4]C[6a]B[4]H)(N[4]B[4]Si)(CC3)2{4|C<3>}   1.8839    0.0012    2     1.8839     0.0012    2
490    917     SP3_SP3    N    4:4:4:4:    4:4:4:1:    C-3_0_0_0:C-3_0_0_0:C-3_0_0_0:P[4]-3_0_0_0     C-3_3_3_3:Ga[4]-3_3_3_3:Ga[4]-3_3_3_3:H-3     C(P[4]Ga[4]2H)(CH3)3    P[4](Ga[4]P[4]CC)2(CC3)(H)     C(P[4]Ga[4]2H)(CH3)3    P[4](Ga[4]P[4]CC)2(CC3)(H){1|C<4>,1|H<1>}   1.8740    0.0001    2     1.8740     0.0001    2
490    917     SP3_SP3    N    4:4:4:4:    4:4:4:4:    C-3_0_0_0:C-3_0_0_0:C-3_0_0_0:P[4]-3_3_3_3     B[4]-3_3_0_0:B[4]-3_3_0_0:C-3_3_3_3:C-3_3_3_3     C(P[4]B[4]2C)(CH3)3    P[4](B[4]P[4]Cl2)2(CC3)2     C(P[4]B[4]2C)(CH3)3    P[4](B[4]P[4]Cl2)2(CC3)2{2|C<4>}   1.9125    0.0012    2     1.9125     0.0012    2
490    917     SP3_SP3    N    4:4:4:4:    4:4:4:4:    C-3_0_0_0:C-3_0_0_0:C-3_0_0_0:P[4]-3_3_3_3     C-3_0_0_0:C-3_3_3_3:C[4]-3_3_3_0:C[4]-3_3_3_0     C(P[4]C[4]2C)(CH3)3    P[4](C[4]P[4]CH)2(CC3)(CH3)     C(P[4]C[4]2C)(CH3)3    P[4](C[4]P[4]CH)2(CC3)(CH3){1|C<4>}   1.8830    0.0002    2     1.8830     0.0002    2
490    919     SP3_SP3    N    3:4:4:1:    8:3:4:    C-3_0_0_0:C-3_0_0_0:H-3:S[3]-8_3_3     C-3_3_3_0:Nb[3,3]-3_3_3_3_0_0_0_0:S[3]-8_3_3     C(S[3]Nb[3,3]S[3])(CH3)2(H)    S[3](Nb[3,3]S[3]3Cl4)(S[3]Nb[3,3]C)(CCCH)     C(S[3]Nb[3,3]S[3])(CH3)2(H)    S[3](Nb[3,3]S[3]3Cl4)(S[3]Nb[3,3]C)(CCCH){2|C<4>}   1.8595    0.0097    4     1.8595     0.0097    4
490    921     SP3_SP3    N    2:1:1:1:    3:4:    F-3:F-3:H-3:Se-3_2     C-3_0_0_0:C-3_2_2     C(SeC)(F)2(H)    Se(CC[5]O)(CFFH)     C(SeC)(F)2(H)    Se(CC[5]O)(CFFH)   1.9422    0.0000    1     1.9422     0.0000    1
490    921     SP3_SP3    N    2:1:1:1:    3:4:    H-3:H-3:H-3:Se-3_2     C-3_0_0_0:C-3_2_0     C(SeC)(H)3    Se(CC[5]H)(CH3)     C(SeC)(H)3    Se(CC[5]H)(CH3)   1.9353    0.0000    1     1.9353     0.0000    1
490    921     SP3_SP3    N    2:1:1:1:    3:4:    H-3:H-3:H-3:Se-3_2     C-3_0_0_0:C[5]-3_2_2     C(SeC[5])(H)3    Se(C[5]C[5,6a]C[5])(CH3)     C(SeC[5])(H)3    Se(C[5]C[5,6a]C[5])(CH3)   1.9371    0.0044    2     1.9371     0.0044    2
490    921     SP3_SP3    N    2:1:1:1:    3:4:    H-3:H-3:H-3:Se-3_2     C-3_0_0_0:C[5]-3_2_2     C(SeC[5])(H)3    Se(C[5]N[5]2)(CH3)     C(SeC[5])(H)3    Se(C[5]N[5]2)(CH3)   1.9589    0.0086    2     1.9589     0.0086    2
490    921     SP3_SP3    N    2:1:1:1:    3:4:    H-3:H-3:H-3:Se-3_2     C-3_0_0_0:C[5a]-3_2_2     C(SeC[5a])(H)3    Se(C[5a]C[5a,6a]C[5a])(CH3)     C(SeC[5a])(H)3    Se(C[5a]C[5a,6a]C[5a])(CH3)   1.9333    0.0219    2     1.9333     0.0219    2
490    921     SP3_SP3    N    2:1:1:1:    3:4:    H-3:H-3:H-3:Se-3_2     C-3_0_0_0:C[6a]-3_2_2     C(SeC[6a])(H)3    Se(C[6a]C[6a,6a]C[6a])(CH3)     C(SeC[6a])(H)3    Se(C[6a]C[6a,6a]C[6a])(CH3)   1.9463    0.0121    2     1.9463     0.0121    2
