670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]N[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]N[6a])2(NHH){1|C<3>}   1.3294    0.0000    1     1.3294     0.0000    1
670    762     SP2_SP2    N    3:1:1:    2:3:3:    C[6]-3:H-1:H-1:     N[6]-2:N[6]-3:N-3:     N(C[6]N[6]2)(H)2    C[6](N[6]C[5a,6])(N[6]C[6]H)(NHH)     N(C[6]N[6]2)(H)2    C[6](N[6]C[5a,6])(N[6]C[6]H)(NHH){1|C<3>,1|N<3>,1|O<2>}   1.3333    0.0046    2     1.3345     0.0040    9
670    762     SP2_SP2    N    3:1:1:    2:3:3:    C[6]-3:H-1:H-1:     N[6]-2:N[6]-3:N-3:     N(C[6]N[6]2)(H)2    C[6](N[6]C[5a,6])(N[6]C[6]H)(NHH)     N(C[6]N[6]2)(H)2    C[6](N[6]C[5a,6])(N[6]C[6]H)(NHH){1|C<3>,2|N<3>}   1.3358    0.0041    4     1.3345     0.0040    9
670    762     SP2_SP2    N    3:1:1:    2:3:3:    C[6]-3:H-1:H-1:     N[6]-2:N[6]-3:N-3:     N(C[6]N[6]2)(H)2    C[6](N[6]C[5a,6])(N[6]C[6]H)(NHH)     N(C[6]N[6]2)(H)2    C[6](N[6]C[5a,6])(N[6]C[6]H)(NHH){1|N<2>,1|N<3>,2|C<4>}   1.3335    0.0047    3     1.3345     0.0040    9
670    762     SP2_SP2    N    3:1:1:    2:3:3:    C[6]-3:H-1:H-1:     N[6]-2:N[6]-3:N-3:     N(C[6]N[6]2)(H)2    C[6](N[6]C[6,6a])(N[6]C[6]H)(NHH)     N(C[6]N[6]2)(H)2    C[6](N[6]C[6,6a])(N[6]C[6]H)(NHH){1|C<3>,2|N<3>}   1.3150    0.0000    1     1.3150     0.0000    1
670    762     SP2_SP2    N    3:1:1:    2:3:3:    C[6]-3:H-1:H-1:     O[6]-2:C[6]-3:N-3:     N(C[6]C[6]O[6])(H)2    C[6](O[6]C[5,6])(C[6]C[6]C)(NHH)     N(C[6]C[6]O[6])(H)2    C[6](O[6]C[5,6])(C[6]C[6]C)(NHH){1|C<4>,1|H<1>,2|C<3>}   1.3397    0.0007    2     1.3384     0.0044    4
670    762     SP2_SP2    N    3:1:1:    2:3:3:    C[6]-3:H-1:H-1:     O[6]-2:C[6]-3:N-3:     N(C[6]C[6]O[6])(H)2    C[6](O[6]C[5,6])(C[6]C[6]C)(NHH)     N(C[6]C[6]O[6])(H)2    C[6](O[6]C[5,6])(C[6]C[6]C)(NHH){1|H<1>,3|C<3>}   1.3371    0.0071    2     1.3384     0.0044    4
670    762     SP2_SP2    N    3:1:1:    2:3:3:    C[6]-3:H-1:H-1:     O[6]-2:C[6]-3:N-3:     N(C[6]C[6]O[6])(H)2    C[6](O[6]C[5a,6])(C[6]C[6]C)(NHH)     N(C[6]C[6]O[6])(H)2    C[6](O[6]C[5a,6])(C[6]C[6]C)(NHH){1|C<3>,1|N<2>,2|C<4>}   1.3406    0.0000    1     1.3369     0.0033    3
670    762     SP2_SP2    N    3:1:1:    2:3:3:    C[6]-3:H-1:H-1:     O[6]-2:C[6]-3:N-3:     N(C[6]C[6]O[6])(H)2    C[6](O[6]C[5a,6])(C[6]C[6]C)(NHH)     N(C[6]C[6]O[6])(H)2    C[6](O[6]C[5a,6])(C[6]C[6]C)(NHH){1|C<4>,1|N<3>,2|C<3>}   1.3357    0.0000    1     1.3369     0.0033    3
670    762     SP2_SP2    N    3:1:1:    2:3:3:    C[6]-3:H-1:H-1:     O[6]-2:C[6]-3:N-3:     N(C[6]C[6]O[6])(H)2    C[6](O[6]C[5a,6])(C[6]C[6]C)(NHH)     N(C[6]C[6]O[6])(H)2    C[6](O[6]C[5a,6])(C[6]C[6]C)(NHH){1|H<1>,1|N<3>,2|C<3>}   1.3344    0.0000    1     1.3369     0.0033    3
