958    960     SP-NON_SP3    N:O    2:2:    4:2:    O-3_0:O-3_0     C-3_3_2_2:H-3_3     H(OC)2    O(CC[6a]2C[5])(HO)     H(OC)2    O(CC[6a]2C[5])(HO)   1.2347    0.2185    2     1.2347     0.2185    2
958    960     SP-NON_SP3    N:O    2:2:    4:2:    O-3_0:O-3_0     C[5,5]-3_3_2_2:H-3_3     H(OC[5,5])2    O(C[5,5]C[5,6a]C[5,5]O[5])(HO)     H(OC[5,5])2    O(C[5,5]C[5,6a]C[5,5]O[5])(HO)   1.2316    0.0004    2     1.2316     0.0004    2
958    960     SP-NON_SP3    N:O    2:2:    4:2:    O-3_0:O-3_0     H-3_3:P-3_2_2_0     H(OP)2    O(PC[6a]2O)(HO)     H(OP)2    O(PC[6a]2O)(HO)   1.2104    0.0831    2     1.2104     0.0831    2
958    960     SP-NON_SP3    N:O    2:2:    4:2:    O-3_0:O-3_0     H-3_3:P-3_2_2_2     H(OP)2    O(PC[6a]2C)(HO)     H(OP)2    O(PC[6a]2C)(HO)   1.1969    0.0091    3     1.1969     0.0091    3
958    960     SP-NON_SP3    N:O    2:2:    4:2:    O-3_0:O-3_0     H-3_3:P-3_2_2_2     H(OP)2    O(PC[6a]3)(HO)     H(OP)2    O(PC[6a]3)(HO)   1.2122    0.0072    2     1.2122     0.0072    2
958    960     SP-NON_SP3    N:O    2:2:    4:2:    O-3_0:O-3_0     H-3_3:P-3_2_2_2     H(OP)2    O(PC[6a]OO)(HO)     H(OP)2    O(PC[6a]OO)(HO)   1.2256    0.0990    11     1.2256     0.0990    11
958    960     SP-NON_SP3    N:O    2:2:    4:2:    O-3_0:O-3_0     H-3_3:P-3_2_2_2     H(OP)2    O(PO3)(HO)     H(OP)2    O(PO3)(HO)   1.2453    0.1456    14     1.2453     0.1456    14
958    960     SP-NON_SP3    N:O    2:2:    4:2:    O-3_0:O-3_0     H-3_3:P-3_3_2_2     H(OP)2    O(PC[6]OO)(HO)     H(OP)2    O(PC[6]OO)(HO)   1.2423    0.0618    2     1.2423     0.0618    2
958    960     SP-NON_SP3    N:O    2:2:    4:2:    O-3_0:O-3_0     H-3_3:P-3_3_3_0     H(OP)2    O(PCOO)(HO)     H(OP)2    O(PCOO)(HO)   1.2345    0.0651    20     1.2345     0.0651    20
958    960     SP-NON_SP3    N:O    2:2:    4:2:    O-3_0:O-3_0     H-3_3:P-3_3_3_2     H(OP[6])(OP)    O(PCOO)(HO)     H(OP[6])(OP)    O(PCOO)(HO)   1.1801    0.0000    1     1.1801     0.0000    1
958    960     SP-NON_SP3    N:O    2:2:    4:2:    O-3_0:O-3_0     H-3_3:P[6]-3_3_3_2     H(OP[6])(OP)    O(P[6]C[6]O[6]O)(HO)     H(OP[6])(OP)    O(P[6]C[6]O[6]O)(HO)   1.2650    0.0000    1     1.2650     0.0000    1
958    960     SP-NON_SP3    N:O    2:2:    4:2:    O-3_0:O-3_0     H-3_3:S-3_2_2_0     H(OS)2    O(SO3)(HO)     H(OS)2    O(SO3)(HO)   1.2562    0.1403    9     1.2562     0.1403    9
