490  830  SP-NON_SP3  N  3:1:1:1:  4:  C[5,6]-3_3_2:F-3:F-3:F-3  C-2_0_0_0  240_20631_0  465_170_0  1.3382  0.0080  12  1.3382  0.0080  12  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C[5,6]-3_3_2:F-3:F-3:F-3  C-2_0_0_0  240_20710_0  465_170_0  1.3379  0.0090  18  1.3379  0.0090  18  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C[5]-3_2_1:F-3:F-3:F-3  C-2_0_0_0  240_24759_0  465_179_0  1.3257  0.0248  201  1.3257  0.0248  201  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C[5]-3_2_2:F-3:F-3:F-3  C-2_0_0_0  240_22641_0  465_179_0  1.3325  0.0134  21  1.3325  0.0134  21  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C[5]-3_2_2:F-3:F-3:F-3  C-2_0_0_0  240_23044_0  465_179_0  1.3326  0.0095  9  1.3326  0.0095  9  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C[5]-3_2_2:F-3:F-3:F-3  C-2_0_0_0  240_23338_0  465_179_0  1.3306  0.0114  22  1.3306  0.0114  22  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C[5]-3_2_2:F-3:F-3:F-3  C-2_0_0_0  240_25929_0  465_179_0  1.3207  0.0125  6  1.3207  0.0125  6  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C[5]-3_2_2:F-3:F-3:F-3  C-2_0_0_0  240_26272_0  465_179_0  1.3234  0.0067  6  1.3234  0.0067  6  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C[5]-3_2_2:F-3:F-3:F-3  C-2_0_0_0  240_26418_0  465_179_0  1.3211  0.0150  48  1.3211  0.0150  48  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C[5]-3_2_2:F-3:F-3:F-3  C-2_0_0_0  240_26616_0  465_179_0  1.3282  0.0087  6  1.3282  0.0087  6  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C[5a]-3_2_2:F-3:F-3:F-3  C-2_0_0_0  240_26948_0  465_192_0  1.3468  0.0246  3  1.3468  0.0246  3  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C[5a]-3_2_2:F-3:F-3:F-3  C-2_0_0_0  240_26959_0  465_192_0  1.3299  0.0100  6  1.3299  0.0100  6  
