863  955  SP2_SP3  N  4:  3:3:3:1:  P[5]-3_2_2_2  C[6a]-3_2_2:N[5,5]-3_3_3:N[5]-3_3_2:O-3  665_6614_0  746_476_2  1.4711  0.0000  1  1.4727  0.0023  2  
863  955  SP2_SP3  N  4:  3:3:3:1:  P[5]-3_2_2_2  C[6a]-3_2_2:N[5]-3_3_2:N[5]-3_3_3:O-3  665_6609_0  746_529_1  1.4769  0.0000  1  1.4769  0.0000  1  
863  955  SP2_SP3  N  4:  3:3:3:1:  P[5]-3_2_2_2  N-3_3_0:N[5]-3_3_3:N[5]-3_3_3:O-3  665_6628_0  746_499_1  1.4804  0.0043  4  1.4804  0.0043  4  
863  955  SP2_SP3  N  4:  3:3:3:1:  P[5]-3_3_2_2  C[5,6a]-3_2_2:N-3_3_3:O-3:P[5]-3_3_2  665_6585_0  746_130_1  1.4850  0.0000  1  1.4850  0.0000  1  
863  955  SP2_SP3  N  4:  3:3:3:1:  P[5]-3_3_2_2  N[5]-3_3_2:N[5]-3_3_3:N[5]-3_3_3:O-3  665_6630_0  746_500_1  1.4738  0.0000  1  1.4738  0.0000  1  
863  955  SP2_SP3  N  4:  3:3:4:1:  P[5]-3_2_2_2  C-3_0_0_0:C[5,5]-3_2_2:C[5,6a]-3_2_2:O-3  665_6571_0  746_44_1  1.4805  0.0000  1  1.4805  0.0000  1  
863  955  SP2_SP3  N  4:  3:3:4:1:  P[5]-3_2_2_2  C-3_2_0_0:C[5,6a]-3_2_2:C[5,6a]-3_2_2:O-3  665_6565_0  746_232_1  1.4855  0.0000  1  1.4855  0.0000  1  
863  955  SP2_SP3  N  4:  3:3:4:1:  P[5]-3_2_2_2  C-3_3_0_0:C[5,6a]-3_2_2:C[5,6a]-3_2_2:O-3  665_6565_0  746_231_1  1.4896  0.0000  1  1.4896  0.0000  1  
863  955  SP2_SP3  N  4:  3:3:4:1:  P[5]-3_2_2_2  C-3_3_0_0:C[5]-3_2_2:C[5]-3_2_2:O-3  665_6593_0  746_328_1  1.4851  0.0000  1  1.4851  0.0000  1  
863  955  SP2_SP3  N  4:  3:3:4:1:  P[5]-3_2_2_2  C-3_3_3_0:C[5,6a]-3_2_2:C[5,6a]-3_2_2:O-3  665_6565_0  746_229_1  1.4946  0.0038  2  1.4946  0.0038  2  
863  955  SP2_SP3  N  4:  3:3:4:1:  P[5]-3_2_2_2  C-3_3_3_3:C[5,5a]-3_2_2:C[5,6a]-3_2_2:O-3  665_6558_0  746_70_1  1.4821  0.0000  1  1.4821  0.0000  1  
863  955  SP2_SP3  N  4:  3:3:4:1:  P[5]-3_2_2_2  C[4]-3_3_3_0:C[5,6a]-3_2_2:C[5,6a]-3_2_2:O-3  665_6567_0  746_236_1  1.4861  0.0000  1  1.4861  0.0000  1  
863  955  SP2_SP3  N  4:  3:3:4:1:  P[5]-3_2_2_2  C[5,6a]-3_2_2:C[5]-3_2_0_0:C[6a]-3_2_2:O-3  665_6579_0  746_185_1  1.4869  0.0000  1  1.4869  0.0000  1  
863  955  SP2_SP3  N  4:  3:3:4:1:  P[5]-3_2_2_2  C[5,6a]-3_2_2:C[5]-3_2_2:C[6]-3_3_3_0:O-3  665_6575_0  746_163_1  1.4850  0.0000  1  1.4850  0.0000  1  
863  955  SP2_SP3  N  4:  3:3:4:1:  P[5]-3_2_2_2  C[5,6a]-3_2_2:C[5]-3_3_0_0:C[6a]-3_2_2:O-3  665_6579_0  746_185_2  1.4897  0.0009  2  1.4897  0.0009  2  
863  955  SP2_SP3  N  4:  3:3:4:1:  P[5]-3_2_2_2  C[5,6a]-3_2_2:C[5]-3_3_0_0:C[6a]-3_2_2:O-3  665_6579_0  746_253_1  1.4931  0.0000  1  1.4931  0.0000  1  
863  955  SP2_SP3  N  4:  3:3:4:1:  P[5]-3_3_2_2  C-3_0_0_0:N[5,5]-3_3_3:N[5]-3_3_2:O-3  665_6615_0  746_474_1  1.4788  0.0000  1  1.4788  0.0000  1  
863  955  SP2_SP3  N  4:  3:3:4:1:  P[5]-3_3_2_2  C-3_3_2_0:N[5]-3_3_3:N[5]-3_3_3:O-3  665_6624_0  746_496_1  1.4712  0.0000  1  1.4712  0.0000  1  
863  955  SP2_SP3  N  4:  3:4:1:1:  P[5]-3_2_2_0  C[5,6a]-3_2_2:O-3:P[5]-3_3_3_2:S-3  665_6586_0  746_91_1  1.4946  0.0000  1  1.4946  0.0000  1  
863  955  SP2_SP3  N  4:  3:4:1:1:  P[5]-3_2_2_0  C[5,6a]-3_2_2:O-3:P[5]-3_3_3_2:Se-3  665_6587_0  746_92_1  1.4934  0.0000  1  1.4934  0.0000  1  
863  955  SP2_SP3  N  4:  3:4:2:1:  P[5]-3_3_2_2  C-3_2_0_0:N[5]-3_3_3:O-3:O[5]-3_3  665_6632_0  746_513_1  1.4648  0.0020  5  1.4648  0.0020  5  
863  955  SP2_SP3  N  4:  3:4:2:1:  P[5]-3_3_2_2  C[5]-3_2_2_0:N[5,6]-3_3_2:O-3_3:O-3  665_6619_0  746_485_1  1.4704  0.0000  1  1.4704  0.0000  1  
863  955  SP2_SP3  N  4:  3:4:3:1:  P[5]-3_2_2_2  C[5,6a]-3_2_2:C[5]-3_2_0_0:C[6a]-3_2_2:O-3  665_6579_0  746_111_1  1.4937  0.0000  1  1.4937  0.0000  1  
863  955  SP2_SP3  N  4:  3:4:4:1:  P[5]-3_3_2_2  C-3_0_0_0:C[5,6a]-3_2_2:C[5]-3_2_2_2:O-3  665_6574_0  746_161_1  1.4737  0.0015  2  1.4737  0.0015  2  
863  955  SP2_SP3  N  4:  3:4:4:1:  P[5]-3_3_2_2  C-3_3_3_3:C[5,6a]-3_2_2:C[5]-3_2_0_0:O-3  665_6574_0  746_179_1  1.4708  0.0000  1  1.4708  0.0000  1  
