818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5]-2_2_2:C[5]-3_3_2_0  417_31397_6  688_2302_2  1.3455  0.0000  1  1.3455  0.0000  1  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5]-2_2_2:C[5]-3_3_3_2  417_31397_11  688_2164_1  1.3326  0.0000  1  1.3326  0.0000  1  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5]-2_2_2:C[5]-3_3_3_2  417_31397_7  688_2227_2  1.3387  0.0000  1  1.3349  0.0081  6  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5]-2_2_2:C[5]-3_3_3_2  417_31397_9  688_2227_3  1.3431  0.0000  1  1.3349  0.0081  6  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5]-2_2_2:C[5]-3_3_3_2  417_31397_11  688_2227_4  1.3345  0.0012  2  1.3349  0.0081  6  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5]-2_2_2:C[5]-3_3_3_2  417_31397_12  688_2227_5  1.3293  0.0135  2  1.3349  0.0081  6  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5]-2_2_2:C[5]-3_3_3_2  417_31397_12  688_2281_1  1.3529  0.0101  2  1.3529  0.0101  2  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5]-2_2_2:C[5]-3_3_3_2  417_31397_6  688_2294_1  1.3321  0.0000  1  1.3400  0.0078  3  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5]-2_2_2:C[5]-3_3_3_2  417_31397_6  688_2294_2  1.3440  0.0052  2  1.3400  0.0078  3  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:S[5]-2_2  C[5,6]-3_3_2_2:C[5]-2_2_2  417_31348_1  688_1383_1  1.3123  0.0000  1  1.3123  0.0000  1  
