670    762     3:1:1:    2:3:3:    C[6]-3:H-1:H-1:     N[6]-2:N[6]-3:N-3:     N    N(C[6]N[6]2)(H)2    C[6](N[6]C[5a,6])(N[6]C[6]H)(NHH)     N(C[6]N[6]2)(H)2    C[6](N[6]C[5a,6])(N[6]C[6]H)(NHH){1|N<2>,1|N<3>,2|C<4>}   1.3349    0.0058    2     1.3333     0.0035    7
670    762     3:1:1:    2:3:3:    C[6]-3:H-1:H-1:     O[6]-2:C[6]-3:N-3:     N    N(C[6]C[6]O[6])(H)2    C[6](O[6]C[5,6])(C[6]C[6]C)(NHH)     N(C[6]C[6]O[6])(H)2    C[6](O[6]C[5,6])(C[6]C[6]C)(NHH){1|C<4>,1|H<1>,2|C<3>}   1.3402    0.0000    1     1.3412     0.0014    2
670    762     3:1:1:    2:3:3:    C[6]-3:H-1:H-1:     O[6]-2:C[6]-3:N-3:     N    N(C[6]C[6]O[6])(H)2    C[6](O[6]C[5,6])(C[6]C[6]C)(NHH)     N(C[6]C[6]O[6])(H)2    C[6](O[6]C[5,6])(C[6]C[6]C)(NHH){1|H<1>,3|C<3>}   1.3421    0.0000    1     1.3412     0.0014    2
670    762     3:1:1:    2:3:3:    C[6]-3:H-1:H-1:     O[6]-2:C[6]-3:N-3:     N    N(C[6]C[6]O[6])(H)2    C[6](O[6]C[6,6])(C[6]C[6]C)(NHH)     N(C[6]C[6]O[6])(H)2    C[6](O[6]C[6,6])(C[6]C[6]C)(NHH){1|C<4>,1|H<1>,2|C<3>}   1.3397    0.0083    3     1.3391     0.0069    4
670    762     3:1:1:    2:3:3:    C[6]-3:H-1:H-1:     O[6]-2:C[6]-3:N-3:     N    N(C[6]C[6]O[6])(H)2    C[6](O[6]C[6,6])(C[6]C[6]C)(NHH)     N(C[6]C[6]O[6])(H)2    C[6](O[6]C[6,6])(C[6]C[6]C)(NHH){1|H<1>,3|C<3>}   1.3373    0.0000    1     1.3391     0.0069    4
670    762     3:1:1:    2:3:3:    C[6]-3:H-1:H-1:     O[6]-2:C[6]-3:N-3:     N    N(C[6]C[6]O[6])(H)2    C[6](O[6]C[6,6])(C[6]C[6]N)(NHH)     N(C[6]C[6]O[6])(H)2    C[6](O[6]C[6,6])(C[6]C[6]N)(NHH){1|C<4>,1|H<1>,2|C<3>}   1.3087    0.0000    1     1.3087     0.0000    1
670    762     3:1:1:    2:3:3:    C[6]-3:H-1:H-1:     O[6]-2:C[6]-3:N-3:     N    N(C[6]C[6]O[6])(H)2    C[6](O[6]C[6,6a])(C[6]C[6]C)(NHH)     N(C[6]C[6]O[6])(H)2    C[6](O[6]C[6,6a])(C[6]C[6]C)(NHH){1|C<4>,1|H<1>,2|C<3>}   1.3338    0.0000    1     1.3392     0.0076    21
670    762     3:1:1:    2:3:3:    C[6]-3:H-1:H-1:     O[6]-2:C[6]-3:N-3:     N    N(C[6]C[6]O[6])(H)2    C[6](O[6]C[6,6a])(C[6]C[6]C)(NHH)     N(C[6]C[6]O[6])(H)2    C[6](O[6]C[6,6a])(C[6]C[6]C)(NHH){1|H<1>,3|C<3>}   1.3394    0.0077    20     1.3392     0.0076    21
670    762     3:1:1:    2:3:3:    C[6a]-3:H-1:H-1:     N[6a]-2:C[6a]-3:N-3:     N    N(C[6a]C[6a]N[6a])(H)2    C[6a](N[6a]C[5,6a])(C[6a]C[6a]H)(NHH)     N(C[6a]C[6a]N[6a])(H)2    C[6a](N[6a]C[5,6a])(C[6a]C[6a]H)(NHH){1|N<3>,1|O<1>,1|S<2>}   1.3479    0.0000    1     1.3479     0.0000    1
670    762     3:1:1:    2:3:3:    C[6a]-3:H-1:H-1:     N[6a]-2:C[6a]-3:N-3:     N    N(C[6a]C[6a]N[6a])(H)2    C[6a](N[6a]C[5a,6a])(C[6a]N[6a]C)(NHH)     N(C[6a]C[6a]N[6a])(H)2    C[6a](N[6a]C[5a,6a])(C[6a]N[6a]C)(NHH){1|N<2>,1|N<3>}   1.3127    0.0000    1     1.3127     0.0000    1
670    762     3:1:1:    2:3:3:    C[6a]-3:H-1:H-1:     N[6a]-2:C[6a]-3:N-3:     N    N(C[6a]C[6a]N[6a])(H)2    C[6a](N[6a]C[6,6a])(C[6a]C[6a]H)(NHH)     N(C[6a]C[6a]N[6a])(H)2    C[6a](N[6a]C[6,6a])(C[6a]C[6a]H)(NHH){1|C<3>,1|H<1>,1|N<3>}   1.3550    0.0075    6     1.3550     0.0075    6
670    762     3:1:1:    2:3:3:    C[6a]-3:H-1:H-1:     N[6a]-2:C[6a]-3:N-3:     N    N(C[6a]C[6a]N[6a])(H)2    C[6a](N[6a]C[6a,6a])(C[6a]C[6a]2)(NHH)     N(C[6a]C[6a]N[6a])(H)2    C[6a](N[6a]C[6a,6a])(C[6a]C[6a]2)(NHH){1|C<4>,4|C<3>}   1.3583    0.0000    1     1.3466     0.0166    2
670    762     3:1:1:    2:3:3:    C[6a]-3:H-1:H-1:     N[6a]-2:C[6a]-3:N-3:     N    N(C[6a]C[6a]N[6a])(H)2    C[6a](N[6a]C[6a,6a])(C[6a]C[6a]2)(NHH)     N(C[6a]C[6a]N[6a])(H)2    C[6a](N[6a]C[6a,6a])(C[6a]C[6a]2)(NHH){1|H<1>,1|N<2>,3|C<3>}   1.3348    0.0000    1     1.3466     0.0166    2
