466  856  SP2_SP3  Y  3:2:3:1:  4:3:4:  C-3_2_2:H-3:N[6]-3_3_2:O[6]-3_2  C[6a]-2_2_2:C[6]-2_2_2_0:C[6]-2_2_2_0  449_35330_1  661_2410_1  1.4295  0.0000  1  1.4295  0.0000  1  
466  856  SP2_SP3  Y  3:2:3:1:  4:3:4:  C[6,6]-3_2_2:H-3:N[6]-3_3_2:O[6]-3_2  C-2_0_0_0:C[6,6]-2_2_2_0:C[6]-2_2_2  446_4794_1  661_997_1  1.4403  0.0000  2  1.4403  0.0000  2  
466  856  SP2_SP3  Y  3:2:3:1:  4:3:4:  C[6a]-3_2_2:H-3:N[6]-3_2:N[6]-3_3_2  C-2_2_0_0:C[6]-2_2_0:C[6]-2_2_2_0  449_30264_1  661_4169_1  1.5006  0.0000  1  1.5006  0.0000  1  
466  856  SP2_SP3  Y  3:2:4:1:  3:3:4:  C-3_2_0_0:H-3:N[6]-3_2_2:S[6]-3_2  C[6a]-2_2_2:C[6]-2_2_2:C[6]-3_2_2_0  449_35337_1  661_2753_1  1.4657  0.0000  1  1.4657  0.0000  1  
466  856  SP2_SP3  Y  3:2:4:1:  3:4:4:  C-3_2_0_0:H-3:N[6]-3_3_2:O[6]-3_3  C[6,6a]-2_2_2:C[6]-3_3_2_0:S-2_2_2_2  449_33192_1  661_1612_1  1.4770  0.0000  1  1.4770  0.0000  1  
466  856  SP2_SP3  Y  3:2:4:1:  4:2:1:  C-3_0_0_0:H-3:N[6]-3_2_0:N[6]-3_2  C[6]-3_2_2_0:H-2:N[6]-2_2  449_35557_1  661_4338_1  1.4305  0.0000  1  1.4305  0.0000  1  
466  856  SP2_SP3  Y  3:2:4:1:  4:2:3:  C-3_0_0_0:H-3:N[6]-3_2_2:N[6]-3_2  C-3_2_2:C[6]-3_2_2_0:N[6]-2_2  449_35537_1  661_4337_1  1.4500  0.0044  2  1.4500  0.0044  2  
466  856  SP2_SP3  Y  3:2:4:3:  3:4:3:  C-3_0_0_0:C-3_2_2:N[6]-3_2_2:N[6]-3_2  C[6a]-2_2_2:C[6]-2_2_0:C[6]-3_2_2_2  449_35311_1  661_4599_2  1.4723  0.0000  1  1.4707  0.0023  2  
466  856  SP2_SP3  Y  3:2:4:3:  3:4:3:  C-3_0_0_0:C-3_2_2:N[6]-3_2_2:N[6]-3_2  C[6a]-2_2_2:C[6]-2_2_0:C[6]-3_2_2_2  449_35311_2  661_4599_1  1.4690  0.0000  1  1.4707  0.0023  2  
466  856  SP2_SP3  Y  3:2:4:3:  4:3:4:  C-3_0_0_0:C-3_2_2:N[6]-3_2:N[6]-3_3_2  C[3,6]-3_3_2_0:C[6a]-2_2_2:C[6]-3_2_2_2  449_32029_1  661_173_1  1.4609  0.0000  1  1.4609  0.0000  1  
466  856  SP2_SP3  Y  3:2:4:4:  3:3:4:  C-3_0_0_0:C-3_0_0_0:N[6]-3_2_2:N[6]-3_2  C[6a]-2_2_2:C[6]-2_2_2:C[6]-3_3_2_2  449_35298_1  661_2750_1  1.5017  0.0000  1  1.5017  0.0000  1  
466  856  SP2_SP3  Y  3:2:4:4:  3:4:1:  C-3_0_0_0:C-3_0_0_0:N[6]-3_2_0:N[6]-3_2  C[5a,6]-2_2_2:C[6]-3_3_2_2:H-2  449_32306_2  661_649_1  1.4828  0.0000  1  1.4828  0.0000  1  
466  856  SP2_SP3  Y  3:2:4:4:  3:4:1:  C-3_0_0_0:C-3_0_0_0:N[6]-3_2_0:N[6]-3_2  C[5a,6]-2_2_2:C[6]-3_3_2_2:H-2  449_32306_1  661_722_1  1.4823  0.0005  2  1.4823  0.0005  2  
