643  941  SP2_SP2  N  2:2:2:  3:2:  N-2_2:N[6a]-2_2:N[6a]-2_2  C[6a]-2_2_2:N-2_1  451_29195_1  599_8410_0  1.3900  0.0047  2  1.3900  0.0047  2  
643  941  SP2_SP2  N  2:2:2:  3:3:  N-2_2:N[6a]-2_2:N[6a]-2_2  C-2_2_2:C[6a]-2_2_2  451_29208_1  599_8392_0  1.3638  0.0094  3  1.3638  0.0094  3  
643  941  SP2_SP2  N  2:2:2:  3:3:  N-2_2:N[6a]-2_2:N[6a]-2_2  C[5a]-2_2_2:C[6a]-2_2_2  451_29191_1  599_5223_0  1.3779  0.0000  1  1.3779  0.0000  1  
643  941  SP2_SP2  N  2:2:2:  3:3:  N-2_2:N[6a]-2_2:N[6a]-2_2  C[6a]-2_2_2:C[6a]-2_2_2  451_28956_1  599_7683_0  1.3559  0.0039  2  1.3559  0.0039  2  
643  941  SP2_SP2  N  2:2:2:  3:3:  N-2_2:N[6a]-2_2:N[6a]-2_2  C[6a]-2_2_2:N-2_2_2  451_28356_2  599_8411_0  1.3838  0.0000  1  1.3838  0.0000  1  
643  941  SP2_SP2  N  2:2:2:  3:3:  N-2_2:N[6a]-2_2:N[6a]-2_2  C[6a]-2_2_2:N-2_2_2  451_29195_1  599_8411_0  1.3729  0.0099  3  1.3729  0.0099  3  
643  941  SP2_SP2  N  2:2:2:  3:3:  N-2_2:N[6a]-2_2:N[6a]-2_2  C[6a]-2_2_2:N-2_2_2  451_29215_1  599_8411_0  1.3908  0.0000  1  1.3908  0.0000  1  
643  941  SP2_SP2  N  2:2:2:  3:4:  N-3_2:N[6a]-2_2:N[6a]-2_2  C-2_0_0_0:C[6a]-2_2_2  451_28945_2  599_8385_0  1.3347  0.0023  2  1.3347  0.0023  2  
643  941  SP2_SP2  N  2:2:2:  3:4:  N-3_2:N[6a]-2_2:N[6a]-2_2  C-3_2_0_0:C[6a]-2_2_2  451_28945_3  599_8367_0  1.3367  0.0000  1  1.3367  0.0000  1  
643  941  SP2_SP2  N  2:2:2:  3:4:  N-3_2:N[6a]-2_2:N[6a]-2_2  C[6a]-2_2_2:P-2_0_0_0  451_28481_1  599_8415_0  1.3569  0.0000  1  1.3569  0.0000  1  
643  941  SP2_SP2  N  2:2:2:  3:4:  N-3_2:N[6a]-2_2:N[6a]-2_2  C[6a]-2_2_2:P-2_0_0_0  451_28968_1  599_8415_0  1.3782  0.0071  6  1.3782  0.0071  6  
643  941  SP2_SP2  N  2:2:2:  3:4:  N-3_2:N[6a]-2_2:N[6a]-2_2  C[6a]-2_2_2:P-2_2_2_2  451_28968_2  599_8414_0  1.3082  0.0008  2  1.3082  0.0008  2  
643  941  SP2_SP2  N  2:2:2:  3:4:  N-3_2:N[6a]-2_2:N[6a]-2_2  C[6a]-2_2_2:P-3_2_2_2  451_28968_1  599_8416_0  1.3619  0.0012  3  1.3619  0.0012  3  
643  941  SP2_SP2  N  2:2:2:  3:4:  N-3_2:N[6a]-2_2:N[6a]-2_2  C[6a]-2_2_2:P-3_3_2_2  451_28968_1  599_8417_0  1.3405  0.0122  3  1.3405  0.0122  3  
